19:42:27.753 [main] INFO  org.sbx.main.Application - Application has been successfully started
19:42:27.758 [main] INFO  org.sbx.service.Service - Properties successfully loaded from conf/config.properties configuration file
19:42:27.760 [main] INFO  org.sbx.managers.FileManager - File /home/aloginov/private/java/files/add_lines.txt exists.
19:42:27.760 [main] INFO  org.sbx.managers.FileManager - File /home/aloginov/private/java/files/add_lines.txt exists.
19:42:28.105 [main] INFO  org.sbx.objects.ListOperator - List has been loaded from file.
19:42:28.105 [main] INFO  org.sbx.main.Application - Scenario #1 started
19:42:28.105 [main] INFO  org.sbx.managers.FileManager - File /home/aloginov/private/java/files/input.txt exists.
19:42:28.105 [main] INFO  org.sbx.managers.FileManager - File /home/aloginov/private/java/files/input.txt exists.
19:42:28.323 [main] INFO  org.sbx.objects.ListOperator - List has been loaded from file.
19:42:28.345 [main] INFO  org.sbx.service.Scenario - Insert time by element for class java.util.ArrayList: 21072773 ns.
19:42:28.351 [main] INFO  org.sbx.service.Scenario - Total numbers of chars for class java.util.ArrayList: 20000000 
19:42:28.351 [main] INFO  org.sbx.main.Application - Scenario #1 finished
19:42:28.351 [main] INFO  org.sbx.main.Application - Scenario #2 started
19:42:28.351 [main] INFO  org.sbx.managers.FileManager - File /home/aloginov/private/java/files/input.txt exists.
19:42:28.351 [main] INFO  org.sbx.managers.FileManager - File /home/aloginov/private/java/files/input.txt exists.
19:42:28.532 [main] INFO  org.sbx.objects.ListOperator - List has been loaded from file.
19:42:29.715 [main] INFO  org.sbx.service.Scenario - Insert time by element for class java.util.LinkedList: 1183065063 ns.
19:42:29.721 [main] INFO  org.sbx.service.Scenario - Total numbers of chars for class java.util.LinkedList: 20000000 
19:42:29.721 [main] INFO  org.sbx.main.Application - Scenario #2 finished
19:42:29.721 [main] INFO  org.sbx.main.Application - Scenario #3 started
19:42:29.721 [main] INFO  org.sbx.managers.FileManager - File /home/aloginov/private/java/files/input.txt exists.
19:42:29.721 [main] INFO  org.sbx.managers.FileManager - File /home/aloginov/private/java/files/input.txt exists.
19:42:29.872 [main] INFO  org.sbx.objects.ListOperator - List has been loaded from file.
19:42:29.873 [main] INFO  org.sbx.service.Scenario - Insert time using addAll() method for class java.util.ArrayList: 75310 ns.
19:42:29.873 [main] INFO  org.sbx.main.Application - Scenario #3 finished
19:42:29.873 [main] INFO  org.sbx.main.Application - Scenario #4 started
19:42:29.873 [main] INFO  org.sbx.managers.FileManager - File /home/aloginov/private/java/files/input.txt exists.
19:42:29.873 [main] INFO  org.sbx.managers.FileManager - File /home/aloginov/private/java/files/input.txt exists.
19:42:29.988 [main] INFO  org.sbx.objects.ListOperator - List has been loaded from file.
19:42:29.989 [main] INFO  org.sbx.service.Scenario - Insert time using addAll() method for class java.util.LinkedList: 1116423 ns.
19:42:29.989 [main] INFO  org.sbx.main.Application - Scenario #4 finished
19:42:29.989 [main] INFO  org.sbx.main.Application - Scenario #5 started
19:42:29.989 [main] INFO  org.sbx.managers.FileManager - File /home/aloginov/private/java/files/input.txt exists.
19:42:29.989 [main] INFO  org.sbx.managers.FileManager - File /home/aloginov/private/java/files/input.txt exists.
19:42:30.136 [main] INFO  org.sbx.objects.ListOperator - List has been loaded from file.
19:42:30.137 [main] INFO  org.sbx.service.Scenario - Insert time for the end for class java.util.ArrayList: 1127913 ns.
19:42:30.137 [main] INFO  org.sbx.main.Application - Scenario #5 finished
19:42:30.137 [main] INFO  org.sbx.main.Application - Scenario #6 started
19:42:30.137 [main] INFO  org.sbx.managers.FileManager - File /home/aloginov/private/java/files/input.txt exists.
19:42:30.137 [main] INFO  org.sbx.managers.FileManager - File /home/aloginov/private/java/files/input.txt exists.
19:42:30.237 [main] INFO  org.sbx.objects.ListOperator - List has been loaded from file.
19:42:30.239 [main] INFO  org.sbx.service.Scenario - Insert time for the end for class java.util.LinkedList: 1131634 ns.
19:42:30.239 [main] INFO  org.sbx.main.Application - Scenario #6 finished
19:42:30.239 [main] INFO  org.sbx.main.Application - Application has finished work
